consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
372.0,F,87.0,G,1948,64.0,1.0,0.0,9.3,3.8,64.0,64.0,83.0,,,Vente,Maison
411.0,F,24.0,D,1948,36.59,2.0,1.67,1.43,3.82,24.47,24.47,34.77,,,Vente,Appartement
0.0,A,0.0,A,1981,102.0,2.0,0.0,25.23,4.39,107.5,60.0,109.0,3.497484,44.519653,Location,Appartement
0.0,A,0.0,A,1948,78.0,2.0,0.0,15.39,0.0,106.0,51.0,151.0,,,Location,Maison
174.0,D,8.0,B,1983,60.0,1.0,0.0,7.24,1.32,60.0,60.0,78.0,,,Vente,Maison
544.0,G,162.0,G,1948,250.0,3.0,5.72,33.84,0.0,95.0,90.0,304.0,,,Vente,Logements collectifs
709.0,G,194.0,G,1948,60.55,1.0,1.11,3.0,6.0,60.55,60.55,100.83,0.4032326,44.1216572,Vente,Appartement
463.0,G,6.0,B,1948,68.0,1.0,0.88,2.88,4.22,68.0,68.0,92.0,,,Vente,Appartement
531.0,G,45.0,E,1948,72.0,1.0,3.08,4.16,0.0,72.0,72.0,92.0,,,Vente,Appartement
723.09,G,41.07,E,2013,21.0,1.0,0.0,1.6,0.0,21.0,21.0,46.2,3.469753,44.526786,Location,Appartement
0.0,A,0.0,A,1948,253.0,3.0,20.6,6.65,17.38,98.0,98.0,353.0,3.502839,44.522654,Vente,Maison
0.0,A,0.0,A,1948,24.0,3.0,1.26,5.62,0.0,15.0,8.0,100.9,3.498378,44.51891,Vente,Maison
263.0,E,15.0,C,1978,115.14,1.0,3.2,0.0,6.5,115.41,115.14,111.59,,,Vente,Maison
659.0,G,128.0,G,1948,82.71,2.0,0.0,0.0,9.47,82.71,82.71,215.23,,,Vente,Maison
511.0,G,27.0,D,1978,120.0,1.0,2.25,4.95,7.41,118.0,118.0,141.0,,,Vente,Maison
0.0,N,0.0,N,1947,78.0,2.0,0.0,0.56,6.5,78.0,78.0,126.0,,,Vente,Maison
139.0,C,3.0,A,2006,84.0,1.0,0.0,3.08,9.24,57.0,58.0,146.0,,,Vente,Maison
542.38,G,29.97,D,1981,29.62,1.0,0.0,6.79,0.0,29.62,29.62,54.0,3.502546,44.514784,Vente,Appartement
220.16,D,66.05,F,1977,85.35,,,,,,,,3.500777,44.525056,Location,Maison
488.0,G,19.0,C,1948,53.0,1.0,0.0,8.94,0.0,53.0,0.0,66.9,,,Vente,Appartement
341.0,F,18.0,C,1989,53.63,1.0,0.0,2.38,1.2,53.63,53.63,83.48,,,Vente,Maison
